timestamp,voltage,current,temperature,cycle_count,capacity_ah,rated_capacity_ah
0.0,3.613,-0.9,28.3,15,99.864,100
300.0,3.938,1.569,26.3,30,99.724,100
600.0,3.615,-1.125,32.6,45,99.542,100
900.0,3.699,0.6,33.2,60,99.353,100
1200.0,3.895,1.238,25.1,75,99.222,100
1500.0,3.949,-0.639,27.3,90,99.131,100
1800.0,3.768,-1.629,26.5,105,98.996,100
2100.0,3.902,1.229,35.9,120,98.835,100
2400.0,4.087,-0.486,33.3,135,98.654,100
2700.0,3.909,1.447,33.7,150,98.533,100
3000.0,3.623,-1.088,29.3,165,98.37,100
3300.0,3.716,-1.596,29.2,180,98.158,100
3600.0,3.782,-0.519,28.1,195,98.064,100
3900.0,4.068,0.592,34.1,210,97.877,100
4200.0,3.965,-1.346,30.7,225,97.717,100
4500.0,3.92,0.228,35.3,240,97.649,100
4800.0,3.988,-1.084,25.5,255,97.484,100
5100.0,3.734,-1.156,39.1,270,97.282,100
5400.0,3.757,0.622,30.9,285,97.188,100
5700.0,3.829,-0.94,28.7,300,97.041,100
